INCLUDE,NAME,HANDLE,ACCESSION_#,MW,copy_#,MOL,Sequence,PDB
x,1A1S,1A1S,,,,0.00001,,1A1S
x,1BXR,1BXR,,,,0.00001,,1BXR
x,1EQR,1EQR,,,,0.00001,,1EQR
x,1F1B,1F1B,,,,0.00001,,1F1B
x,1GYT,1GYT,,,,0.00001,,1GYT
x,1KP8,1KP8,,,,0.00001,,1KP8
x,1KYI,1KYI,,,,0.00001,,1KYI
x,1QO1,1QO1,,,,0.00001,,1QO1
x,1VPX,1VPX,,,,0.00001,,1VPX
x,1VRG,1VRG,,,,0.00001,,1VRG
x,1W6T,1W6T,,,,0.00001,,1W6T
x,1YG6,1YG6,,,,0.00001,,1YG6
x,2AWB,2AWB,,,,0.00001,,2AWB
x,2BO9,2BO9,,,,0.00001,,2BO9
x,2BYU,2BYU,,,,0.00001,,2BYU
x,2GHO,2GHO,,,,0.00001,,2GHO
x,2GLS,2GLS,,,,0.00001,,2GLS
x,2H12,2H12,,,,0.00001,,2H12
x,2IDB,2IDB,,,,0.00001,,2IDB
x,2REC,2REC,,,,0.00001,,2REC
x,3DY4,3DY4,,,,0.00001,,3DY4
